[Sys Thread: 72] INFO | 07-02-2025 16:59:54.177 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 72] INFO | 07-02-2025 16:59:54.177 | Installed Printers Count :3
[Sys Thread: 72] INFO | 07-02-2025 16:59:54.192 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 72] INFO | 07-02-2025 16:59:54.192 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 07-02-2025 16:59:55.973 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-02-2025 16:59:55.973 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-02-2025 16:59:55.973 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-02-2025 16:59:56.348 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 16:59:59.223 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 16:59:59.223 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 16:59:59.223 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 16:59:59.644 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 17:00:07.812 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 17:00:07.812 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 17:00:07.812 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 17:00:07.937 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-02-2025 17:00:42.824 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-02-2025 17:00:42.824 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-02-2025 17:00:42.824 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-02-2025 17:00:42.949 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 17:00:59.292 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 17:00:59.308 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 17:00:59.308 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 17:00:59.308 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 17:00:59.417 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 17:01:07.806 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 17:01:07.806 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 17:01:07.806 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 17:01:07.931 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-02-2025 17:01:42.844 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-02-2025 17:01:42.844 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-02-2025 17:01:42.844 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-02-2025 17:01:42.969 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 17:01:59.216 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 17:01:59.216 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 17:01:59.231 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 17:01:59.356 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 17:02:07.805 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 17:02:07.868 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 17:02:07.868 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 17:02:07.977 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-02-2025 17:02:42.831 | Common:: DecodeBase64 START
