[Sys Thread: 54] INFO | 06-17-2025 16:53:57.585 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 54] INFO | 06-17-2025 16:53:57.585 | Installed Printers Count :3
[Sys Thread: 54] INFO | 06-17-2025 16:53:57.585 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 54] INFO | 06-17-2025 16:53:57.585 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.73] INFO | 06-17-2025 16:53:59.194 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:53:59.194 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:53:59.194 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:53:59.194 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 06-17-2025 16:53:59.194 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.73] ERROR | 06-17-2025 16:53:59.287 | AdminController:: GetUserDetails Error   at System.Data.RBTree`1.GetNodeByIndex(Int32 userIndex)
   at PactRevenUWebapi2._0.Controllers.PactRequestTokenController.GetClientUserDetails(RequestObj Reqobj)
[System: 192.168.1.99] INFO | 06-17-2025 16:53:59.319 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:53:59.334 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:53:59.334 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:53:59.615 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 06-17-2025 16:54:00.572 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:00.572 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:00.572 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 06-17-2025 16:54:00.775 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:54:03.647 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:54:03.647 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:54:03.647 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:54:03.725 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 06-17-2025 16:54:11.206 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 06-17-2025 16:54:36.221 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:54:36.253 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:54:36.253 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:54:36.253 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:54:36.331 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.355 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.355 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.355 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.355 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.355 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.417 | Administration:: Entering LDAPChecking
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.433 | isValidUser:: True
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.433 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.480 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.480 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.480 | Administration:: Entering LDAPChecking
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.480 | isValidUser:: True
[System: 192.168.1.73] INFO | 06-17-2025 16:54:58.480 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.73] INFO | 06-17-2025 16:55:00.560 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:55:00.560 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:55:00.560 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 06-17-2025 16:55:00.623 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 06-17-2025 16:55:02.630 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:55:03.646 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:55:03.646 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:55:03.646 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:55:03.724 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:55:37.181 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:55:37.181 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:55:37.181 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:55:37.258 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] ERROR | 06-17-2025 16:56:00.572 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 06-17-2025 16:56:00.587 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:56:00.587 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:56:00.587 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 06-17-2025 16:56:00.634 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:56:03.653 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:56:03.653 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:56:03.653 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:56:03.731 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:56:38.194 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:56:38.194 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:56:38.194 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:56:38.272 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 06-17-2025 16:57:00.565 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 06-17-2025 16:57:00.565 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 06-17-2025 16:57:00.565 | Common:: DecodeBase64 START
[System: 192.168.1.73] ERROR | 06-17-2025 16:57:00.612 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 06-17-2025 16:57:03.654 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:57:03.654 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:57:03.654 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:57:03.732 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.597 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.597 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.597 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.597 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.597 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.644 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.644 | isValidUser:: False
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.644 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.691 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.691 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.691 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.691 | isValidUser:: False
[System: 192.168.1.54] INFO | 06-17-2025 16:57:14.706 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.773 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.773 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.773 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.773 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.773 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.820 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.820 | isValidUser:: False
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.820 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.867 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.867 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.867 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.867 | isValidUser:: True
[System: 192.168.1.54] INFO | 06-17-2025 16:57:19.867 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 06-17-2025 16:57:39.196 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 06-17-2025 16:57:39.196 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 06-17-2025 16:57:39.196 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 06-17-2025 16:57:39.275 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-17-2025 16:57:44.846 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-17-2025 16:57:44.846 | Common:: deCodeLevel1 START
