[Sys Thread: 1] INFO | 07-22-2025 15:40:45.851 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07-22-2025 15:40:45.851 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07-22-2025 15:40:45.851 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07-22-2025 15:40:45.851 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 07-22-2025 15:40:49.178 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:40:49.178 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:40:49.178 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:40:49.506 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-22-2025 15:41:31.638 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:41:49.537 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:41:49.537 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:41:49.537 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:41:49.662 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:42:48.555 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:42:48.555 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:42:48.555 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:42:48.670 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-22-2025 15:43:47.551 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:43:48.520 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:43:48.520 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:43:48.520 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:43:48.645 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:44:49.551 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:44:49.551 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:44:49.551 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:44:49.660 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:45:50.548 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:45:50.563 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:45:50.563 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:45:50.673 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:46:51.553 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:46:51.553 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:46:51.553 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:46:51.662 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:47:52.563 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:47:52.563 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:47:52.563 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:47:52.672 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-22-2025 15:48:47.564 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:48:53.518 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:48:53.518 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:48:53.533 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:48:53.643 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:49:54.556 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:49:54.556 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:49:54.556 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:49:54.680 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:50:55.548 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:50:55.548 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:50:55.548 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:50:55.673 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:51:56.572 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:51:56.572 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:51:56.572 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:51:56.712 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:52:57.567 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:52:57.567 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:52:57.567 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:52:57.692 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-22-2025 15:53:47.568 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:53:58.528 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:53:58.528 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:53:58.528 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:53:58.640 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:54:59.551 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:54:59.551 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:54:59.551 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:54:59.676 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:56:00.559 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:56:00.559 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:56:00.559 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:56:00.668 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 07-22-2025 15:56:31.560 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-22-2025 15:57:01.550 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-22-2025 15:57:01.550 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-22-2025 15:57:01.550 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-22-2025 15:57:01.675 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
