[Sys Thread: 1] INFO | 06-26-2025 16:59:10.465 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-26-2025 16:59:10.465 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-26-2025 16:59:10.481 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-26-2025 16:59:10.481 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.57] INFO | 06-26-2025 16:59:10.934 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 06-26-2025 16:59:10.934 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 06-26-2025 16:59:10.934 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 06-26-2025 16:59:11.153 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 16:59:30.836 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 16:59:30.836 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 16:59:30.836 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 06-26-2025 16:59:32.043 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 06-26-2025 16:59:49.581 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 06-26-2025 16:59:58.343 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 06-26-2025 17:00:09.977 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 06-26-2025 17:00:09.977 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 06-26-2025 17:00:09.977 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 06-26-2025 17:00:10.055 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-26-2025 17:00:25.373 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-26-2025 17:00:25.373 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-26-2025 17:00:25.373 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-26-2025 17:00:25.514 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 17:00:30.846 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 17:00:30.846 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 17:00:30.846 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 06-26-2025 17:00:30.987 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-26-2025 17:00:42.892 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-26-2025 17:00:42.892 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-26-2025 17:00:42.907 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-26-2025 17:00:43.017 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
