[Sys Thread: 1] INFO | 06-13-2025 20:06:12.549 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-13-2025 20:06:12.549 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-13-2025 20:06:12.565 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-13-2025 20:06:12.565 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 06-13-2025 20:06:32.090 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:06:32.090 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:06:32.090 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:06:32.356 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 06-13-2025 20:07:31.824 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:07:31.840 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:07:31.840 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:07:31.840 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:07:31.886 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:08:31.741 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:08:31.741 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:08:31.741 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:08:31.772 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:09:31.730 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:09:31.730 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:09:31.730 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:09:31.777 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:10:31.726 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:10:31.726 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:10:31.726 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:10:31.773 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:11:31.740 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:11:31.740 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:11:31.740 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:11:31.787 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 06-13-2025 20:11:47.676 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 06-13-2025 20:12:08.224 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:08.224 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:08.224 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:08.287 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 06-13-2025 20:12:13.137 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:13.137 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:13.137 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:13.184 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] ERROR | 06-13-2025 20:12:31.753 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:12:31.769 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:12:31.769 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:12:31.769 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:12:31.800 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:56.237 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.238 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.238 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.253 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.253 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.269 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.269 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.269 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.285 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.285 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-13-2025 20:12:57.285 | Common:: DecodeBase64 START
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.363 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] ERROR | 06-13-2025 20:12:57.488 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 06-13-2025 20:13:31.733 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 06-13-2025 20:13:31.733 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 06-13-2025 20:13:31.733 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 06-13-2025 20:13:31.780 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 06-13-2025 20:13:57.225 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-13-2025 20:13:57.225 | Common:: DecodeBase64 START
