[Sys Thread: 1] INFO | 07-08-2025 15:28:52.586 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07-08-2025 15:28:52.586 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07-08-2025 15:28:52.586 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07-08-2025 15:28:52.586 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] ERROR | 07-08-2025 15:28:53.258 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-08-2025 15:28:53.367 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-08-2025 15:28:53.367 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-08-2025 15:28:53.367 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-08-2025 15:28:53.507 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.54] INFO | 07-08-2025 15:29:54.129 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-08-2025 15:29:54.129 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-08-2025 15:29:54.129 | Common:: DecodeBase64 START
[System: 192.168.1.54] ERROR | 07-08-2025 15:29:54.176 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
