[Sys Thread: 72] INFO | 07-02-2025 17:21:54.595 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 72] INFO | 07-02-2025 17:21:54.595 | Installed Printers Count :3
[Sys Thread: 72] INFO | 07-02-2025 17:21:54.595 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 72] INFO | 07-02-2025 17:21:54.595 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.57] INFO | 07-02-2025 17:23:43.678 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 17:23:43.678 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 17:23:43.678 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 17:23:44.740 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 17:23:59.300 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 17:23:59.300 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 17:24:59.238 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 17:24:59.238 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 17:24:59.238 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 17:24:59.378 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 17:25:36.169 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 17:25:36.169 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 17:25:36.169 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 17:25:36.450 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 07-02-2025 17:25:56.950 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 17:25:59.234 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 17:25:59.249 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 17:25:59.249 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 17:25:59.249 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 17:25:59.343 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 17:26:56.934 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 17:26:56.934 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 17:26:56.934 | Common:: DecodeBase64 START
