[Sys Thread: 1] INFO | 07-24-2025 14:59:32.109 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07-24-2025 14:59:32.109 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07-24-2025 14:59:32.109 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07-24-2025 14:59:32.109 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.700 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.700 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.700 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.700 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.700 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.810 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.810 | isValidUser:: True
[System: 192.168.1.99] INFO | 07-24-2025 15:12:36.810 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 07-24-2025 15:12:37.029 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:37.029 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:37.029 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 07-24-2025 15:12:37.029 | isValidUser:: True
[System: 192.168.1.99] INFO | 07-24-2025 15:12:37.029 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] INFO | 07-24-2025 15:12:45.859 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:45.859 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:45.859 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:45.859 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:45.859 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.078 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.125 | Common:: IsBase64 Checking START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.125 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.125 | Administration:: Entering LDAPChecking
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.125 | isValidUser:: True
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.125 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.328 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.359 | Administration:: Entering InitLoginSession
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.375 | Administration:: Entering AllowSession  1
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.375 | Administration:: Entering AllowSession  end
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.375 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.515 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.531 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.547 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.547 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.99] INFO | 07-24-2025 15:12:46.765 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:46.781 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:47.031 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:47.078 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:12:47.109 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
