[Sys Thread: 43] INFO | 06-20-2025 16:45:57.997 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 43] INFO | 06-20-2025 16:45:57.997 | Installed Printers Count :3
[Sys Thread: 43] INFO | 06-20-2025 16:45:57.997 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 43] INFO | 06-20-2025 16:45:57.997 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.56] ERROR | 06-20-2025 16:45:59.778 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-20-2025 16:45:59.871 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:45:59.887 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 06-20-2025 16:45:59.918 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 06-20-2025 16:45:59.918 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:45:59.981 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.043 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.043 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.106 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.121 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.168 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.168 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.215 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.215 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.215 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.215 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.231 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.231 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.231 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.231 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.246 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.246 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.262 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.262 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.293 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.293 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-20-2025 16:46:00.293 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.574 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.699 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-20-2025 16:46:00.809 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
