[System: 192.168.1.98] ERROR | 06-12-2025 11:33:58.748 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:58.779 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:58.810 | Administration:: Entering GetUserDetails
[System: 192.168.1.98] INFO | 06-12-2025 11:33:58.857 | Administration:: Exiting GetUserDetails
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:58.857 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:58.919 | Administration:: Entering GetUserDetails
[System: 192.168.1.98] INFO | 06-12-2025 11:33:58.982 | Administration:: Exiting GetUserDetails
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:58.982 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.044 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.044 | ReportLayout:: GetDataSet START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.091 | ReportLayout:: GetDataSet END
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.091 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.138 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.138 | ReportLayout:: GetDataSet START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.138 | ReportLayout:: GetDataSet END
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.154 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.154 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.154 | ReportLayout:: GetDataSet START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.169 | ReportLayout:: GetDataSet END
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.169 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.185 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.185 | ReportLayout:: GetDataSet START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.185 | ReportLayout:: GetDataSet END
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.185 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.201 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.201 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:33:59.201 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.341 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.560 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:33:59.685 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.124 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.156 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.171 | setAuditPrint:: setAuditPrint
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.187 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.312 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.359 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.390 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.421 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.437 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.468 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.515 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.546 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:34:06.546 | Administration:: Inside getRoles
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.562 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.593 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.609 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:06.624 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:34:09.421 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:34:09.421 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:34:09.436 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:09.764 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:34:59.621 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:34:59.621 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:34:59.621 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:34:59.746 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:12.767 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:12.798 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:17.331 | setAuditPrint:: setAuditPrint
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:17.331 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:17.363 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:17.394 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:19.794 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:19.810 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:19.825 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:19.997 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:20.013 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:35:20.029 | Administration:: Inside getRoles
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:20.044 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:20.075 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:20.091 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:35:20.107 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:35:40.131 | Common:: DecodeBase64 START
