[Sys Thread: 1] INFO | 06-26-2025 10:31:33.151 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-26-2025 10:31:33.151 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-26-2025 10:31:33.167 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-26-2025 10:31:33.167 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.495 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.495 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.495 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.495 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.667 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.932 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.932 | isValidUser:: True
[System: 192.168.1.76] INFO | 06-26-2025 10:31:33.932 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:34.120 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:34.135 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:34.135 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 06-26-2025 10:31:34.135 | isValidUser:: True
[System: 192.168.1.76] INFO | 06-26-2025 10:31:34.135 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.306 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.306 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.306 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.306 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.306 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.525 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.572 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.572 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.572 | Administration:: Entering LDAPChecking
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.572 | isValidUser:: True
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.572 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:41.728 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.759 | Administration:: Entering InitLoginSession
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.791 | Administration:: Entering AllowSession  1
[System: 192.168.1.76] INFO | 06-26-2025 10:31:41.791 | Administration:: Entering AllowSession  end
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:41.791 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:41.962 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:43.665 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.76] INFO | 06-26-2025 10:31:43.681 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:43.681 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:43.899 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:43.899 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.181 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.212 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.227 | Administration:: Entering GetUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.290 | Administration:: Exiting GetUserDetails
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.290 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.352 | Administration:: Entering GetUserDetails
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.399 | Administration:: Exiting GetUserDetails
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.399 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.524 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.524 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.555 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.571 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.602 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.602 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.602 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.602 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.618 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.618 | ReportLayout:: GetDataSet START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.790 | ReportLayout:: GetDataSet END
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:44.790 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.837 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.837 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:44.837 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:45.040 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:45.305 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:45.352 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:45.446 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:46.930 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.055 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.117 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.149 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.180 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.227 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:31:47.305 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:47.305 | Common:: deCodeLevel1 START
[System: 192.168.1.76] INFO | 06-26-2025 10:31:47.305 | Common:: DecodeBase64 START
[System: 192.168.1.76] ERROR | 06-26-2025 10:31:47.570 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.160 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.207 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.238 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.254 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.316 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.363 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.426 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.457 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.535 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.566 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.582 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.613 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.645 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:22.723 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:26.425 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.456 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.456 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.456 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.503 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:26.519 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.535 | Common:: IsBase64 Checking START
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.535 | Common:: DecodeBase64 START
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.535 | Administration:: Entering GetCostCenterListViewData
[System: 192.168.1.76] INFO | 06-26-2025 10:32:26.550 | Administration:: Exiting GetCostCenterListViewData
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:26.550 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.76] ERROR | 06-26-2025 10:32:28.300 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
