[Sys Thread: 1] INFO | 06-19-2025 11:31:49.723 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-19-2025 11:31:49.723 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-19-2025 11:31:49.723 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-19-2025 11:31:49.739 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.705 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.705 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.705 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.705 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.705 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.861 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.861 | isValidUser:: True
[System: 192.168.1.77] INFO | 06-19-2025 11:31:59.861 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 06-19-2025 11:32:00.033 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:00.033 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:00.033 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 06-19-2025 11:32:00.033 | isValidUser:: True
[System: 192.168.1.77] INFO | 06-19-2025 11:32:00.033 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] INFO | 06-19-2025 11:32:05.983 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:05.983 | Common:: deCodeLevel1 START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:05.983 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:05.983 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:05.983 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.170 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.264 | Common:: IsBase64 Checking START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.264 | Common:: DecodeBase64 START
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.264 | Administration:: Entering LDAPChecking
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.264 | isValidUser:: True
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.264 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.77] ERROR | 06-19-2025 11:32:06.514 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.530 | Administration:: Entering InitLoginSession
[System: 192.168.1.77] INFO | 06-19-2025 11:32:06.561 | Administration:: Entering AllowSession  1
