[Sys Thread: 1] INFO | 06-23-2025 10:05:37.611 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-23-2025 10:05:37.626 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-23-2025 10:05:37.626 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-23-2025 10:05:37.626 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.56] ERROR | 06-23-2025 10:05:38.704 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:05:38.704 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:06:53.202 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.810 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.810 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.810 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.810 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.810 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.904 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.904 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-23-2025 10:06:57.920 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:06:58.013 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:58.013 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:06:58.013 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-23-2025 10:06:58.013 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-23-2025 10:06:58.013 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] INFO | 06-23-2025 10:07:03.445 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:03.445 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:03.445 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:03.445 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:03.445 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.007 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.101 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.101 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.101 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.101 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.101 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:04.226 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.242 | Administration:: Entering InitLoginSession
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.257 | Administration:: Entering AllowSession  1
[System: 192.168.1.56] INFO | 06-23-2025 10:07:04.257 | Administration:: Entering AllowSession  end
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:04.257 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:04.445 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:06.867 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.56] INFO | 06-23-2025 10:07:06.883 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:06.883 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:07.179 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:07.195 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:07.461 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.133 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.164 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.180 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.211 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.211 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.274 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.320 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.320 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.430 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.445 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.477 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.477 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.524 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.539 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.539 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.539 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.555 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.555 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.664 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:08.664 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.680 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:08.680 | ReportLayout:: GetDataSet START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:09.242 | ReportLayout:: GetDataSet END
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:09.242 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:09.289 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:09.289 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-23-2025 10:07:09.289 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:09.680 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:09.680 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:09.789 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:14.040 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:14.102 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:14.149 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:18.039 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:18.101 | Common controller:: Inside BulkEditDetals
[System: 192.168.1.56] INFO | 06-23-2025 10:07:18.117 | Common controller::Exiting BulkEditDetals
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:18.117 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:18.148 | Common controller:: Inside BulkEditDetals
[System: 192.168.1.56] INFO | 06-23-2025 10:07:18.210 | Common controller::Exiting BulkEditDetals
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:18.210 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:07:20.252 | Common:: GetDataSet START
[System: 192.168.1.56] ERROR | 06-23-2025 10:07:21.205 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:08:09.264 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:08:09.264 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-23-2025 10:08:09.264 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-23-2025 10:08:09.436 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:09:09.263 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-23-2025 10:09:09.263 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-23-2025 10:09:09.263 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 06-23-2025 10:09:09.388 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-23-2025 10:10:09.274 | Common:: DecodeBase64 START
