[Sys Thread: 72] INFO | 07-02-2025 12:50:54.561 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 72] INFO | 07-02-2025 12:50:54.561 | Installed Printers Count :3
[Sys Thread: 72] INFO | 07-02-2025 12:50:54.561 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 72] INFO | 07-02-2025 12:50:54.561 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.56] ERROR | 07-02-2025 12:50:57.670 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 12:50:57.779 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 12:50:57.779 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 12:50:57.779 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 12:50:58.076 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 12:50:59.185 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] INFO | 07-02-2025 12:50:59.201 | Common:: DecodeBase64 START
[System: 192.168.1.57] INFO | 07-02-2025 12:50:59.201 | Common:: deCodeLevel1 START
[System: 192.168.1.57] INFO | 07-02-2025 12:50:59.201 | Common:: DecodeBase64 START
[System: 192.168.1.57] ERROR | 07-02-2025 12:50:59.201 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.57] ERROR | 07-02-2025 12:50:59.451 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 07-02-2025 12:51:45.316 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 07-02-2025 12:51:45.316 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 07-02-2025 12:51:45.316 | Common:: DecodeBase64 START
[System: 192.168.1.56] ERROR | 07-02-2025 12:51:45.440 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
