[Sys Thread: 33] INFO | 07-24-2025 15:37:33.371 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 33] INFO | 07-24-2025 15:37:33.371 | Installed Printers Count :3
[Sys Thread: 33] INFO | 07-24-2025 15:37:33.371 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 33] INFO | 07-24-2025 15:37:33.371 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.99] INFO | 07-24-2025 15:37:33.871 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:37:33.871 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:37:33.871 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:37:34.137 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:38:32.983 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:38:32.983 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:38:32.983 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:38:32.983 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:38:33.030 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:39:32.902 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:39:32.902 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:39:32.902 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:39:32.934 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:40:32.899 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:40:32.899 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:40:32.915 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:40:32.946 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:40:47.674 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:40:47.674 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:40:47.674 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:40:47.721 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:41:47.912 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:41:47.912 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:41:47.912 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:41:47.943 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:42:46.922 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] ERROR | 07-24-2025 15:43:32.914 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:43:32.914 | Common:: DecodeBase64 START
[System: 192.168.1.99] INFO | 07-24-2025 15:43:32.914 | Common:: deCodeLevel1 START
[System: 192.168.1.99] INFO | 07-24-2025 15:43:32.914 | Common:: DecodeBase64 START
[System: 192.168.1.99] ERROR | 07-24-2025 15:43:32.961 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.99] INFO | 07-24-2025 15:44:32.896 | Common:: DecodeBase64 START
