[Sys Thread: 1] INFO | 06-30-2025 10:25:19.996 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 06-30-2025 10:25:19.996 | Installed Printers Count :3
[Sys Thread: 1] INFO | 06-30-2025 10:25:20.012 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 06-30-2025 10:25:20.012 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.747 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.747 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.747 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.747 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.747 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.997 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.997 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-30-2025 10:25:22.997 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 06-30-2025 10:25:23.121 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:23.121 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:23.121 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-30-2025 10:25:23.121 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-30-2025 10:25:23.121 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.418 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.434 | Common:: deCodeLevel1 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.434 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.434 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.434 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.918 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.996 | Common:: IsBase64 Checking START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.996 | Common:: DecodeBase64 START
[System: 192.168.1.56] INFO | 06-30-2025 10:25:25.996 | Administration:: Entering LDAPChecking
[System: 192.168.1.56] INFO | 06-30-2025 10:25:26.012 | isValidUser:: True
[System: 192.168.1.56] INFO | 06-30-2025 10:25:26.012 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:26.215 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-30-2025 10:25:26.246 | Administration:: Entering InitLoginSession
[System: 192.168.1.56] INFO | 06-30-2025 10:25:26.262 | Administration:: Entering AllowSession  1
[System: 192.168.1.56] INFO | 06-30-2025 10:25:26.262 | Administration:: Entering AllowSession  end
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:26.262 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:26.418 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.043 | RibbonGenerator:: GetRibbonViewWeb
[System: 192.168.1.56] INFO | 06-30-2025 10:25:30.059 | RibbonGenerator:: Inside GetRibbonView
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.074 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-30-2025 10:25:30.496 | RibbonGenerator:: Success: GetRibbonView
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.496 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.778 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.840 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:30.887 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-30-2025 10:25:30.903 | Administration:: Entering GetUserDetails
[System: 192.168.1.56] INFO | 06-30-2025 10:25:31.012 | Administration:: Exiting GetUserDetails
[System: 192.168.1.56] ERROR | 06-30-2025 10:25:31.012 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.56] INFO | 06-30-2025 10:25:31.074 | Administration:: Entering GetUserDetails
