[Sys Thread: 1] INFO | 07-09-2025 10:59:00.454 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 1] INFO | 07-09-2025 10:59:00.454 | Installed Printers Count :3
[Sys Thread: 1] INFO | 07-09-2025 10:59:00.470 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 1] INFO | 07-09-2025 10:59:00.470 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.813 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.813 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.813 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.813 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.813 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.938 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.938 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-09-2025 10:59:00.938 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 07-09-2025 10:59:01.157 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:01.157 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 10:59:01.157 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-09-2025 10:59:01.157 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-09-2025 10:59:01.157 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.138 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.138 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.154 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.154 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.154 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.201 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.201 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.201 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.248 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.248 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.263 | Administration:: Entering LDAPChecking
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.263 | isValidUser:: True
[System: 192.168.1.54] INFO | 07-09-2025 11:02:17.263 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.54] INFO | 07-09-2025 11:02:30.930 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:30.930 | Common:: deCodeLevel1 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:30.930 | Common:: DecodeBase64 START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:30.930 | Common:: IsBase64 Checking START
[System: 192.168.1.54] INFO | 07-09-2025 11:02:30.930 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.54] INFO | 07-09-2025 11:02:32.318 | AdminController:: Exiting GetUserDetails
