[Sys Thread: 26] INFO | 07-18-2025 17:43:54.916 | SessionManager :: InitOnLoad() :: Entering...
[Sys Thread: 26] INFO | 07-18-2025 17:43:54.916 | Installed Printers Count :3
[Sys Thread: 26] INFO | 07-18-2025 17:43:54.916 | IsExportPDFWithPrintOption : True - XPS Printer Name : Microsoft Print to PDF
[Sys Thread: 26] INFO | 07-18-2025 17:43:54.916 | SessionManager :: InitOnLoad() :: Exiting...
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.291 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.291 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.291 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.291 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.291 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.338 | Administration:: Entering LDAPChecking
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.338 | isValidUser:: True
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.338 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.479 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.479 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.479 | Administration:: Entering LDAPChecking
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.479 | isValidUser:: True
[System: 192.168.1.73] INFO | 07-18-2025 17:43:55.479 | AdminController:: Exiting LDAPUserCheck
[System: 192.168.1.79] INFO | 07-18-2025 17:43:57.713 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07-18-2025 17:43:57.713 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07-18-2025 17:43:57.713 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07-18-2025 17:44:07.774 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 07-18-2025 17:44:10.087 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 07-18-2025 17:44:10.087 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 07-18-2025 17:44:10.087 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 07-18-2025 17:44:20.120 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.630 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.630 | Common:: deCodeLevel1 START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.630 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.630 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.630 | Administration:: Entering GetClientUserDetails
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.708 | AdminController:: Exiting GetUserDetails
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.786 | Common:: IsBase64 Checking START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.786 | Common:: DecodeBase64 START
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.786 | Administration:: Entering LDAPChecking
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.786 | isValidUser:: True
[System: 192.168.1.73] INFO | 07-18-2025 17:44:23.786 | AdminController:: Exiting LDAPUserCheck
